Hospital Id,Hospital Name,Address,Pin Code,PhONE NO
HOS-BLR-3407,Devi Super Speciality Eye Hospital Private Limited,"#434, 18Th Main, 80 Feet Road, 6Th Block Bus Depot. Block, Koramangala.",560095,080-25630563
HOS-BLR-3400,Padmashree Nursing Home & Maternity Home,"1108/30, 10Th Main 4Th Cross, Rpc Layout, Vijayanagar",560040,080-23384138
HOS-BLR-3419,Sreenagar Nursing Home,"#855, Ramanjaneya Main Road, Sreenagar",560050,080-22428830
HOS-BLR-3402,Soukya Hospital,"#17, N.T.I Layout, Vidyaranyapura Main Road",560097,080-23642029
HOS-BLR-3401,Vydehi Institute Of Medical Science & Research Centre,"# 82, Epip Area, White Field",560066,080-28413381
HOS-BLR-3434,B.G. Hospital,"Mayamma Thimmappa Complex, Tumkur Road, Anchepalya",560073,080-28392033
HOS-BLR-3466,R.C. Hospital,"#484/A, Ideal Homes Township, Rajarajeshwari Nagar",560098,080-28603060
HOS-BLR-3468,Sri Rama Nursing Home,"34 & 35, Sanjeevappa Lane, Cubbonpet",560002,080-22216630
HOS-BLR-3469,Spurthy Hospital,"# 22, 1St Main Chocolate Factory Road, Tavarekere Btm 1St Stage",560029,080-26844042
HOS-BLR-3422,Trupti Nursing Home,"# 463, 1Block, 3Rd Stage, Basaveshwar Nagar",560079,080-23220269
HOS-BLR-3517,Manipal Polyclinic & Nursing Home,"#291, Main Road, Ramamurthy Nagar",560016,080-25909853
HOS-BLR-3513,Sri Maruthi Hospital,"# 50, Kondappa Garden, Kogilu Road",560064,080-28571526
HOS-BLR-3543,Green City Hospital,"No.726, 17Th Cross, 4Th Phase, J P Nagar",560078,080-26536222
HOS-BLR-3588,Sree Lakshmi Hospital,"21St Cross, Kaggadasapura Main Road, C.V.Raman Nagar Post",560093,080-41676336
HOS-BLR-3586,Fortis Hospitals Ltd,"No.154/9, Bilekahalli, Bannergatta Road",560076,080-66214444
HOS-BLR-3600,Sree Ranga Hospital,"No.1/7, 1St Floor, Nagadevanahalli Bus Stop, Kengari Post",560056,080-26602718
HOS-BLR-3594,Genesis Hospital,"Airport Road, Marathahalli",560037,080-25917427
HOS-BLR-3628,Sri Vinayaka Nursing Home,"No.3033, 8Th Main, 80 Feet Road, Hal 2Nd Stage",560008,080-25281044
HOS-BLR-3691,Thirumala Hospital,"No.18/3/4, Ward No.17, Kamakshipalya, Magadi Road",560079,080-64500100
HOS-BLR-3601,Avadhani Nethralaya,"No.33, 1St Floor, Patalamma Temple Street, Basavanagudi",560004,080-26575305
HOS-BLR-3611,Sri Thirumala Hospital,"Smr Arcade, S.M.Road, Jalahalli Cross, T.Dasarahalli",560057,080-65985785
HOS-BLR-3702,Sri Venkateshwara Hospital,"1St Main Road, Peenya 2Nd Stage",560058,080-28361441
HOS-BLR-3796,Kamala Nethralaya,"No.81, 7Th Cross, 4Th Block, Near Bda Complex, Koramangala",560034,080-25526944
HOS-BLR-3776,Retina Institute Of Karnataka,"No.122, 5Th Main Road, Opp To Osteen College",560018,080-22410106
HOS-BLR-3862,Aeinullah Eye Hospital,"#90, Austin Town Layout, Near B.D.A Shopping Complex",560047,080-25565144
HOS-BLR-3830,Laser Vision Netralaya,"#157, Defence Colony, 4Th Main Indiranagar",560038,080-25292759
HOS-BLR-3823,North Star Maternity & Nursing Home,"#4, Sarakki Industrial Estate, 3Rd Phase, J.P.Nagar, Bannerghatta Road",560076,080-26583903
HOS-BLR-3801,Punar Jyoti Eye Hospital,"No.37, Next To Ganesha Temple, Near Cubbonpet Market, Cubbonpet Main Road",560002,080-41140307
HOS-BLR-3874,Suguna Hospital,"1A/87, Dr. Rajakumar Road, 4Th N Block, Rajajinagar",560010,080-40194444
HOS-BLR-3080,Vijayanagar Global Hospital,"#46, 17Th Cross. M.C. Road",560040,080-2342442
HOS-BLR-1033,Sri Ram Hospital,"#107/2, K.R. Puram Nishvasaha Centre, Old Madras Road, -5600036",560036,080-25610988
HOS-BLR-4283,Dr.Ramchandra Hospital,"# 30, Hasaragatta Road, T.Dasarahalli, Near 8Th Mail Circle",560057,080-28372888
HOS-BLR-1626,Shreya Hospital,"# 73, 6Th Cross, 3Rd Main, Kengeri Satellite Town, ",560060,080-28482958
HOS-BLR-2018,R.R. Hospital & Trauma Center,"11/2, 8Th Cross, 100 Feet Ring Road, Gangadhar Nagar, J.P. Nagar, -Gangadhar Nagar, J.P.Nagar",560078,080-26718785
HOS-BLR-1654,Y.K. Hospital,"C A Plot 65 Ring Road, Jiganiindustrial Area",562106,08110-414397
HOS-BLR-4689,M.S.Ramaiah Narayana Hrudayalaya Heart Centre,"New Bel Road, Msr Nagar, Msrit Post",560054,080-22183650
HOS-BLR-4695,Padma Devaiah Hospital & Research Centre,"19/1, 19Th Cross, Bhuvaneshwari Nagar",560023,080-23145046
HOS-BLR-4780,Gurukripa Health Care Centre,"#30, 1St Floor, Galeyara Balaga Bus Stop, Mahalaxmipuram",560086,080-23492619
HOS-BLR-4761,Divine Speciality Hospital,"#110, 6H Main, I.T.I Layout, Benson Town Post",560046,080-23530333
HOS-BLR-4685,Lakshmi Nursing Home,"#86, 2Nd Main Road, Seshadripuram",560020,080-23670610
HOS-BLR-4688,Chinmayi Hospital,"#34, Brindavan Layout, Subramanyapura Main Road",560061,080-26394455
HOS-BLR-4691,Sankara Eye Hospital (Sri Kanchi Kamakoti Medical Trust),"Kundalahalli Gate, Vartur Main Road",560037,080-28542727
HOS-BLR-4777,Suraksha Nursing Home,"#9, 1St A Cross, T.C.Palya Main Road, 2Nd Block Akshaynagar, R.M.Nagar",560016,080-32422362
HOS-BLR-4706,Meridian Medical Centre,"#14, Standage Road, Off Frazertown",560005,080-40608000
HOS-BLR-4223,Hcg M.S.Ramaiah Curie Center Of Oncology,"M.S.R. Nagar, M.S.R.I.T, Post",560054,080-22182929
HOS-BLR-887,Bhagwan Mahaveer Jain Hospital,"No.17, Millers Road, Vasanthnagar",560052,080-22207640
HOS-BLR-4,Bhagwan Mahaveer Jain Heart Centre( A Unit Of Srinivasa Cardiology Centre Pvt Ltd),"#8, Millers Tank Bund Road Near Cantonment Railway Station",560052,080-41999328
HOS-BLR-1421,Shekhar Hospital,"# 942, 28Th Main, 9Th Blockjayanagar",560069,080-22454223
HOS-BLR-2782,Mysore Hospital,"#35/6, Industrial Subued, Gurgentepalya, Yeshwanthpur",560022,080-22900049
HOS-BLR-3187,Shanmuga Nursing Home,"#9/8, Sulthanpalya Main Road",560032,080-22924827
HOS-BLR-3844,International Hospital Ltd (A Fortis Network),"111, West Of Chord Road, Mahalaxmi Puram Opp Rajajinagar First Block",560086,080-23004109
HOS-BLR-3845,Fortis Hospitals Ltd,"No.23, Gurukrupa Layout, Nagarbhavi 2Nd Stage23",560072,080-23014100
HOS-BLR-4517,Cauvery Orthopaedic Centre,"#408, 20Th Main, W.O.C.Road, 1St Block, Rajajinagar",560010,080-23125577
HOS-BLR-4615,Akshaya Nethralaya,"#227/A, Vidyagiri Layout N Exit O Axis Bank Nagarbhavi Circle",560072,080-23390350
HOS-BLR-34,Sharavathi Hospitals (P) Ltd,"1133/F, 30 Feet Service Road, R P C Layout, Vijaynagar 2Nd Phase",560040,080-23300222
HOS-BLR-4625,Varalakshmi Nursing & Maternity Home,"#2944/2945, 2Nd Stage Rajajinagar",560010,080-23321866
HOS-BLR-4569,Acharya Tulsi Jain Hospital,"Mom(M)W6-P-6, #22/2-1, 6Th Cross, K.N Extension",560022,080-23374677
HOS-BLR-769,Dr.Rao'S Maternity Hospital,"370/371, 6Th Phase I Stage, 60 Feet Road, West Of Chord Road",560044,080-23381982
HOS-BLR-4335,Gurushree Hi-Tech Multi Speciality Hospital,"#1558, Opp To Chandra Layout Bus Stand",560040,080-23392641
HOS-BLR-4122,Sri Sai Krupa Hospital,"#19/A, Opp Lic, Mathikere Main Road",560054,080-23471367
HOS-BLR-88,Subbiah Hospital (A Unit Of Shirdi Sai Hospital Pvt Ltd),"31, M.S.Ramaiah Road, Mathiker",560054,080-23603760
HOS-BLR-4453,Raksha Multispeciality Hospital,"#141/142, 1St Main, Police Quarters, Khb Colony, Nandini Layout",560096,080-23747100
HOS-BLR-4143,Navashakthi Nethralaya Pvt Ltd,1332 Double Road Indiranagar,560038,080-25289669
HOS-BLR-3967,Chaya Hospital ( A Unit Of Chaya Healthcare Pvt Ltd),"# 6C-335, 4Th Main, 6Th Cross, Ombr Layout, Bhuvanagiri",560043,080-25426030
HOS-BLR-4401,F.M.Eye Clinic & Surgical Centre,"43-B, Robertson Road, Hains Main Road, Fraser Town",560005,080-25482067
HOS-BLR-4186,Shri Vinayaka Nethralaya,"#78, Nagaraj Complex, Hosur Main Road, Madiwala",560068,080-25525932
HOS-BLR-449,St. Philomena'S Hospital (Society Jesus Mary Joseph & St.Stanislaus Convent),#4 Campbell Road Behind Lifestyle,560047,080-40164527
HOS-BLR-1658,Hill Side Hospital,"# 113, 4Th Cross, R.K. Layout, 2Nd Stage, Padmanabha Nagar",560070,080-26392911
HOS-BLR-4291,Ramesh Eye Clinic & Ophthalmic Micro Surgical Centre,"#26, Sajjan Rao Road, V.V.Puram",560004,080-26506611
HOS-BLR-841,Dr.B.V.Venugopal Bharath Nursing Home,"No.1402, Sarakki Gate, Kanakapura Main Road",560078,080-26539923
HOS-BLR-3084,Adithi Maternity And General Nursing Home,"#78, Omkarnagar, B.G. Road",560076,080-26584911
HOS-BLR-4537,Eye Care Centre,"#57, 13Th Main, 4Th Block East, Jayanagar",560011,080-26630063
HOS-BLR-6,Cdr Medical Centre,"Jayanagar, ",560011,080-26655055
HOS-BLR-1651,Ashraya Hospital,"#26, Jetiappa Complex, Yelachenahalli, Kanakapura Rd",560078,080-26669130
HOS-BLR-1951,Varna Nursing Home,"# 513/2Nd Cross, 8Th Main, Bsk 1St Stage, 2Nd Block",560050,080-26673410
HOS-BLR-1977,Trinetraalaya Eye Care & Surgical Centre,"22/2, 13Th Main, Banashankari1St Stage, 1St Block, Srinagar",560050,080-51203583
HOS-BLR-4504,Bangalore Nethralaya Super Speciality Eye Hospital,"#946, 21St Main, Near Bda Complex, Banashankari , 2Nd Stage",560070,080-65375566
HOS-BLR-4330,Mayo'S Hospital,"#124, Kanakapura Main Road, Jayanagar, 7Th Block",560082,"080-26772211,44"
HOS-BLR-4282,Ring Road Hospital,"# 129, 1 Main Road, Kattriguppe, 3Rd Stage, Banashankari",560085,080-26797040
HOS-BLR-2819,Harsha Hospital,"# 193/4, Nh 4, Sondekoppa Circle, Nelamangala",562123,080-27723697
HOS-BLR-1653,Sri Raghava Childres' & General Hospital,"Opp To Syndicate Bank, Sarjapur Rd, Attibele, 562107Attibele Anekal (Tq)",562017,080-27821454
HOS-BLR-1656,Balaji Nursing Home,Dommasandra Bus Stop,562125,080-27822092
HOS-BLR-4635,Bgs Global Hospital,"#67, Uttarahalli Road, Kengeri",560060,080-49067694
HOS-BLR-3237,Roshni Nursing Home,"# 16/10 3Rd Main, 14Th Cross, Wilson Garden",560030,080-32947331
HOS-BLR-4490,Hcg Sr Nagar,"# 8, P. Kalinga Roao Road, Sampandiramnagar",560027,080-40206407
HOS-BLR-3798,Apollo Hospitals,"No.154/11, Opp To Iimb, Bannerghatta Road",560076,"080-26304339, 40304050, 26304050, 26304051"
HOS-BLR-4049,Sri Venkateshwara Hospital,"# 86, Hosur Main Road, Madiwala",560068,080-40416789
HOS-BLR-4315,Acura Health Care Pvt Ltd,"#435, 18Th Main, Koramangala 6Th Block(Near Ndoor Stadium)",560095,080-41105151
HOS-BLR-3938,Manasa Petal Hospital,"# 34, Ist Main Cbi Road, Ganganagar, Near St. Jude Church",560032,080-41273999
HOS-BLR-4013,T.R. Hospital,"125/1 T0 7, Kothnur Dinne Main Road, Sapthagiri Layout",560078,080-41663480
HOS-BLR-29,Ramakrishna Hospital Pvt Ltd,"806/1, 15 Th Cross, Jayanagar, Iii Block, -Jayanagar, Iii Block",560011,080-40800200
HOS-BLR-3865,Abhaya Eye Hospital,"#77, Bsk 3Rd Stage, 100Ft Ring Road, 5Th Block",560085,080-65316155
HOS-BLR-4269,Premier Sanjeevini Hospital,"6/2, N.H 4, T. Dasarahalli",560057,080-65374444
HOS-BLR-4452,Kavitha Hospital,"#93 4Th Main, Vijayachandra Kalyan Mantap Road, Magadi Main Road, Sunkadakatte",560091,080-65415203
HOS-BLR-313,Mahabodhi Mallige Hospital,T.Mariyappa Roadjayanagar 1St Block,560011,080-6565678
HOS-BLR-4162,Narayana Nethralaya-II,"#258/A, Bommasandra, Hosur Road",560099,080-66660668
HOS-BLR-2931,G.E.F. Eye Hospital,"A.I.R. Extension, (Old Madras Road, Nh4)",562114,08111-650501
HOS-BLR-1657,Fosa Humanitarian Hospital,"Near Bannerghatta Police Station, 20Th Milestone, Bannerghatta",560083,080-7828612
HOS-BLR-4101,Kala Hospital,"1105, 5Th Cross, K.N. Extension, Yeshwanthpur",560022,080-23376446
HOS-BLR-4028,Kalasa Maternity Home,"# 127, Bull Temple Road",560019,080-26509681
HOS-BLR-2008,Krishna Loka Hospital,"80 Ft Ring Road, Gnana Jyothi-Nagar",560056,080-57683928
HOS-BLR-1499,Kvg Bangalore Hospital (A Unit Of The Bangalore Hospital),"Bannrghatta, Jungle Palya, Anekal Road, Bangalor",560083,080-27828488
HOS-BLR-3936,Malleswaram Eye Day Care Hospital,"# 24 First Floor, 5Th Cross, Near Malleswaram Circle",560003,080-23369464
HOS-BLR-255,Manipal Northside Hospital,"71, 11Th Main, Malleswaram",560003,080-23460469
HOS-BLR-4160,Nethrakashi Eye Hospital & Microsurgical Centre,"# 122, 2Nd Main Road, 9Th Cross, Chamarajpet",560018,080-26600482
HOS-BLR-4099,Samprathi Eye Hospital And Squint Centre,"# 111, Railway Parallel Road, 7Th Cross Kumar Park West",560020,080-23367544
HOS-BLR-4142,Sreenivasa Nursing Home,"#12, Park Road, Balepet",560053,080-41221024
HOS-BLR-4798,Shalini Nursing Home,"#63, 6Th Main, B.D.A Layout, Avalahalli",560085,080-26740447
HOS-BLR-4827,Cloudnine (A Venture Of Kids Clinic Pvt Ltd,"#1533, 9Th Main, Jayanagar 3Rd Block",560011,080-40202222
HOS-BLR-4833,Shree Nandi Hospital,"# 7, 2Nd Main Road, Chamrajapet",560018,080-41680287
HOS-BLR-4790,Kavya Hospital,Hongasandra Begur Main Road,560068,080-25735487
HOS-BLR-4864,Geetha Nursing Home,"#71, Hmt Layout, Dinnur Main Road, R.T.Nagar",560032,080-23336481
HOS-BLR-4968,Anugraha Hospital,"No 18/2, 1St Cross, M.C. Layout, Vijayanagar",560079,080-23200330
HOS-BLR-5062,Mahanth Hospital,"#8, 1St Cross, N.G.R Layout, Roopona Agrhar",560068,080-25732790
HOS-BLR-5052,Sanjeevani Hospital,"381, 382, 6Th Block Rajajinagar, Near Prassanna Circle",560010,080-23590365
HOS-BLR-5029,Kusuma Hospital,"#237/37, 10Th Main, 50 Ft. Road, Nagendra Block, Srinagar",560050,"080-26421948, 26421177"
HOS-BLR-5217,Indira Hospital,"Main Road, Jigani",562106,080-7825179
HOS-BLR-5154,K.T.G Chanre Hospital,"St.No-93, Ktg Educational Campus, Sunkadakatte Road, Sreegandada Kaval, Hegganahalli Cross",560091,080-28368071
HOS-BLR-5179,Karthik Hospital,"#56, 8Th Cross, Wilson Garden",560027,080-22224611
HOS-BLR-5155,R.K. Hospital,"#31, Kammanahalli Main Road",560084,080-25801999
HOS-BLR-5181,Shankara Nethralaya,"41-42/45, 7Th Cross, Saraswathipuram Nandini Layout Main Road",560096,080-23190865
HOS-BLR-5280,Krishnadevaraya Hospital & Research Centre,Sir Mvit Campus Hunsamaranahalli,562157,080-28477023
HOS-BLR-5231,Sri Rajeshwari Hospital,"#110, Mariappanapalaya, Jananabharathi",560056,080-64192013
HOS-BLR-5343,Dr.Kamini Rao Hospital (A Unit Of Bacc Health Care Pvt Ltd),"#909, 47Th Cross, 9Th Main, 5Th Block, Jayanagar",560041,080-26534444
HOS-BLR-2000,Yogananda Medical & Research Centre,"#277, M.K. Puttalingaih Road",560007,080-26792251
HOS-BLR-4885,Columbia Asia Referral Hospital,"#26/1, 80Feet Dr.Rajkumar Road, Malleshwaran West",560055,080-39898969
HOS-BLR-5365,Manasa Hospital,"G.Chandranna Building, Near Old Bus Stop, Devanahalli Town",562110,080-27682385
HOS-BLR-5366,Pooja 3D Hospital And Diabetes Centre,"#103, Banaswadi Main Road, Next To Bata Shoeraam, Subbahahan Palaya",560033,080-25459056
HOS-BLR-5358,S.S.G Hospital,"#116/2, Herohalli, Anjananagar, Vishwaneedam Post",560091,080-69920361
HOS-BLR-5363,Sreenivasa Nursing Home,"Gandhi Square, Anekal",562106,080-27829461
HOS-BLR-5450,Dr.Ramesh Hospital,"#6/63, 59Th Cross, 4Th Block, Rajajinagar Entrance",560010,080-23151873
HOS-BLR-5435,N.R.R. Hospital,"#3 & 3A, Hesaragatta Main Road, Chikkasandra",560090,080-28374115
HOS-BLR-5401,Popular Hospital,"#16, 3Rd Cross, Shankerpuram",560004,080-42849500
HOS-BLR-5410,Sree Venkateshwara Speciality Hospital,"#1, Gupta Layout, Lakkasandra, Bannerughatta Road",560030,080-22104329
HOS-BLR-5407,Eben-Ezer Medical Hospital,"#19, Near Bio Zeen Lab",560077,080-28444200
HOS-BLR-5475,Medikeri'S Super Speciality Ent Center,"#9/91, Govindappa Road, Cross, R.V Road, Basavanagudi",560004,080-32901028
HOS-BLR-5460,Rangalakshmi Netralaya,"#2054, 13Th B Main Near Mother Dairy Cross Yelahanka New Town",560106,080-28463544
HOS-BLR-5479,Lalitha Healthcare Pvt. Ltd. A Fortis Network Hospital,"#65, 1St Main Road, Sheshadripuram.",560020,080-40200000
HOS-BLR-5507,S.M.Hospital,"#9, 3Rd Cross, Manorayan Palya, Sultanpalya Main Road, R.T.Nagar Post",560032,080-23653748
HOS-BLR-5491,Sagar Hospitals,"Shavige Malleshwara Hills, Kumara Swamy Layout, Banashankari",560078,080-42999999
HOS-BLR-5501,Spring Leaf Health Care Pvt Ltd,"#60/3, Konappana Agrahara, Opp Infosys Convention Centre",560100,080-67345000
HOS-BLR-5513,Ashwini Nursing Home,"#382, Narayanappa Buildingd Ramamurthynagar",560016,080-41671356
HOS-BLR-5097,Dr. Malathi Manipal Hospital,"45/1, 45Th Cross, 9Th Block, Jayanagar",560069,080-40091000
HOS-BLR-5652,Mathrushree Hospital,"#6930, S.No.198, Nh-4 Soundekoppa Nelamangala",562123,"080-27725494, 27722496"
HOS-BLR-5540,Nova Medical Centers Private Limited,"#143, 1St Cross, 5Th Block, Koramangala",560034,080-43485555
HOS-BLR-5673,Dr.Bhuvaneshwaris Maternity & Childrens Hospital,"Opp Basavvana, Behind Bhavani Arcade",580029,0836-2251409
HOS-BLR-5689,Nephro Life Care India Pvt  Ltd,"#2, Setlur Street, Shanthinagar",560027,080-43319999
HOS-BLR-5692,V-Care Hospital,"#29, 1St Main Road, 1St Block, Devegowda Road, R.T. Nagar",560032,080-23434373
HOS-BLR-5730,Axon Speciality Hospital (Sapna Medical Services Llp),"No.321, 6Th Main Hal Indiranagar, Behind Idbi 80 Ft Road, Opp Fgag Church",560038,080-43346333
HOS-BLR-5747,Unity Lifeline Hospital (India) Pvt Ltd,"#193, 80 Feet Road, 2Nd Block 2Nd Stage Nagarbhavi",560072,080-23183131
HOS-BLR-5711,Vasan Healthcare Pvt Ltd,"#897/C, 80Ft Road, 6Th Block, Next To Bus Depot, Koramangala",560034,080-39890000
HOS-BLR-5710,Vasan Healthcare Pvt Ltd,"#46, 19Th Main, 1St Block, Rajajinagar, B-10, Next To Ananya Hospital",560010,080-30723999
HOS-BLR-5766,Chanre Rheumatology & Immunology Centre & Research (A Unit Of Chanre Darsha Health Care Pvt Ltd),"#149, 15Th Main, 3D Stage, 4Th Block, Nhc Layout, Basaveshwar Nagar",560079,080-23235599
HOS-BLR-5750,Cosmo Multispeciality Hospital,"#64, 1St Cross, Kalidasa Circle, Srinagar",560050,080-23753355
HOS-BLR-5837,Cauvery Medical Center Ltd,"# 43/2, Nh7 Bellary Road Near Kodigehalli Gatesahakaranagar",560092,080-43420100
HOS-BLR-5841,The Bmax Hospital,"120/4, Haralur Main Road Opp Sarjapur Road, Hsr Layout Post",560102,080-64533334
HOS-BLR-6492,Bhagavathi Multi Speciality Hospital,"L-168, 6Th Sector, Hsr Layout",560102,080-41245868
HOS-BLR-6481,The Pulse Multi Speciality Hospital,"No 5/8/1, 20Th Main Road Muneshwara Block, Girinagar",560082,080-26724466
HOS-BLR-6488,Avhieta Hospital & Health Care,"280/1 Byrathi Cross, Hennur Bagalur Main Road",560077,080-2845144
HOS-BLR-5853,Nethradhama Hospital Pvt Ltd,"No-66, Indiranagar Double Road Hal 2Nd Stage Indiranagar Near Esi Hospital",560038,080-26088000
HOS-BLR-6500,Cloudnine (Kids Clinic India Pvt. Ltd.),"115, Kodi Halli, Old Airport Road",560017,080-67999999
HOS-BLR-5852,Nethradhama Hospital Pvt Ltd,"No.607/77, Ist Main Dr.Rajkumar Road 2Nd Block Rajajinagar",560021,080-26088000
HOS-BLR-5867,Sri Shirdi Sai Hospital,Surabhi Complex B.B Road Devanahalli Town Opp Canara Bank,562110,080-27681395
HOS-BLR-5855,Sri Venkateshwara Eye Hospital,"#5, Drls Plaza, Nh4, T.Dasarahalli",560057,080-28370013
HOS-BLR-5873,Sakaria Healthcare Pvt Ltd,"#797, 10Th Main Ist Stage 3Rd Block Hbr Layout",560043,080-25435050
HOS-BLR-5871,Anugrahaa Hospital,"55/3A, Govindana Setty Palya Road Konappana Agrahara Electronic City Infosys South Taluk",560100,080-28521234
HOS-BLR-5893,Chinmaya Narayana Hrudayalaya,Cmh Road Indiranagar 2Nd Stage Chinmaya,560038,080-25200001
HOS-BLR-5887,Nova Medical Centers Pvt Ltd,"# 221/14, 5Th Main Bellary Road, Sadashiv Nagar",560008,080-43245555
HOS-BLR-5903,Arunodaya Hospitals,"# 18-23 4Th And 5Th Cross Mallasandra Main Road, Bagalagunte",560057,080-28395214
HOS-BLR-5899,Mvj Hospital,"Nh-4, Mvj Hospital 31 Km Milestone Old Madras Road",562114,080-27931473
HOS-BLR-5907,Vagus Superspeciality Hospital Pvt Ltd,"# 6, 7, 8 4Th Main 18Th Cross Opp To 18Th Cross Bus Stop Malleswaram",560003,080-23569970
HOS-BLR-5914,South City Hospital,"53/1(45), Shalini, Susheela Road, Lalbagh Upparahalli",560004,080-26572222
HOS-BLR-5913,Deeksha Hospital,#387/347 Bb Road Nehrunagar Yelahankaold Town,560064,080-32564445
HOS-BLR-5933,Yashomati Hospitals Private Limited,"#2371/3, Hal Varthur Main Road Next To  Mangalya Apartments",560037,080-43221053
HOS-BLR-5930,Srinivasa Eye Hospital,"No-60, Banaswadi Main Road Beside Uma Maheswari Temple",560043,080-40955959
HOS-BLR-5939,Sri Sai Ram Hospital,"#6, Jc Industrial Area Yellachanahalli Ist Stage Kanakpura Main Road",560060,080-26860159
HOS-BLR-5945,Live 100 Hospital,"#104/1, Singsandra Hosur Road Opp Singsandra Bus Stop Urban",560068,080-43600600
HOS-BLR-5953,Sri Ram Nethralaya & Surgical Centre,#2 1 Floor Kr Puram Opp Ganesha Temple Near Old Police Station Urban,560036,080-65583586
HOS-BLR-5968,Nmpc Hospital,"#66, Jayaram Reddy Layout Horamavu Post Near Home Buzz Horamavu Main Road",560043,080-25420632
HOS-BLR-5996,Motherhood (Unit Of Rhea Healthcare Pvt Ltd),#324 Cmh Road Indirangar Ist Stage Next To Vijaya Bank Building,560038,080-25190000
HOS-BLR-5988,Sri Lakshmi Multi-Speciality Hospital,"#127/1, Sri Gandhada Kaval Sunkadakatte Vishwaneedam Post Magadi Main Road",560091,080-23588315
HOS-BLR-5981,Srivijaya Speciality Hospital,#699 3Rd Main Road Bhuvanagiri Layout Doddabanaswadi,560043,080-25428429
HOS-BLR-5978,Vikram Hospitals Bengaluru Pvt Ltd,#71/1 Millers Road Next To Central Bank Near Sp Office,560052,080-45004545
HOS-BLR-6242,Sapthagiri Hospital,No 15 Chikkasandra Hesarghatta Main Road,560090,080-28393392
HOS-BLR-6235,Dhanush Hospital,"#63, Byraveshwara Nagar 2Nd Main, Nagarbhavi Main Raod",560072,080-23185544
HOS-BLR-6238,Jayashree Multi Speciality Hospital,"#25, 26 & 27, 1St Cross, B Block Vishwapriya Nagar, Begur",560068,080-25745888
HOS-BLR-6102,Amrutha Hospital,# 1 Near Water Tank Jakkur Main Road Amruthahalli,560092,080-40928888
HOS-BLR-6262,Narayana Nethralaya -3,New No 37 Castel Street Opp Sacred Heart Church Ashok Nagar,560025,080-66974023
HOS-BLR-6356,Sparsh Hospital For Advanced Surgeries,"# 146, Infentry Road, Near Police Commissioner Officer",560001,080-33282061
HOS-BLR-6320,Srushti Hospital,"124, Kanakapura Main Road, Jayanagara 7Th Block",560082,080-26761144
HOS-BLR-6360,Sri Lakshmi Venkateshwara Hospital Pvt Ltd,"4/38. 1St Main, 4Th Phase, Industrial Area, Yelahanka New Town",560064,080-42042436
HOS-BLR-6316,Town Hospital,"Near Srirama Temple Bagalur Road, Sarjapurr",562125,080-27883388
HOS-BLR-6099,Poornima Hospital,"#200/A, Hmt Layout, Rt Nagar",560032,080-23557272
HOS-BLR-6400,K C Raju Multi Speciality Hospital,Lingarajapuram Hennur Main Road,560084,080-25477712
HOS-BLR-6110,Aditya Netralaya,"#244, 7Th Cross 6 Block 3 Puase 3Block Banashankari",560085,080-26695392
HOS-BLR-6398,H K Hospital,"#106/2 & 135, Mysore Road Kengeri",560080,080-25908824
HOS-BLR-6066,Sri Ramakrishna Hospital,Opp Tvs Show Room Old Madras Road Krishnarajapuram,560036,080-25616114
HOS-BLR-6023,Shree Krishna Hospital,No 26 Hesaraghatta Road Bangalagunte,560073,080-28374440
HOS-BLR-6407,Raja Rajeswari Medical College & Hospital,Kambipura Mysore Road,560074,080-28347658
HOS-BLR-6060,Nirmala Nursing Home,Kishan Arcade Erns City Doddane Khund Outer Ring Road,560037,080-28533999
HOS-BLR-6026,Dr.Agarwals Healthcare Ltd.,C.K Emerald No-10 Ns Palya Kaveriappa Industrial Area Bannerghatta Road,560076,080-25504555
HOS-BLR-6456,Manasa Hospital,"No 107, 6Th Main, 2Nd Cross, Vijayanagar",560040,080-23104604
HOS-BLR-6073,Metro Hospital,21/3 Vasanthpur Main Road Konanakunte Cross,560062,080-64522226
HOS-BLR-6118,Nagappa Hadli Hospital,M S Palya Circle Vidyaranyapura Post,560097,080-22713016
HOS-BLR-6446,Nethra Eye Hospital,"#8, Poojary Layout, 80Ft Road, Rmv 2Nd Stage",560094,9632584711
HOS-BLR-6136,Shree Vijayalakshmi Hospital & Trauma Centre,#3/666 Hennur Bande Hennur Main Road Kalyan Nagar Post,560043,080-42351594
HOS-BLR-6443,Beams Hospitals Privated Limited,"640, 12Th Main, 80 Ft Road, 4Th Block, Koramangala, Bengaluru",560034,080-39417700
HOS-BLR-6442,Drishti Nethralaya,"36/7, 1 Floor, 24Th Main Road, Girinagar Muneshwara Block, Girinagar, -560085",560084,080-26723135
HOS-BLR-6138,Mathru Shree Nethralaya,#818/819 16Th A Main 2Nd Cross Gokul Extension,560056,080-23371810
HOS-BLR-6457,Brookefield Hospital (A Unit Of Sanjeevini Healthcare),"#521, 522, Vijaylakshmi Square, Itpl Main Road, Bangalore",560037,080-42445555
HOS-BLR-6397,Sharada Hospital Nelamangala,"Paramanna Layout, Opp To Corporation Bank",562123,080-27722099
HOS-BLR-6306,Sidvin Hospital Pvt Ltd,"#1031, 20Th Main, 5Th Block Rajajinagar",560010,080-23505566
HOS-BLR-6095,Shanthi Hospital & Research Centre Pvt Ltd,Door No 307 40 Cross Jayanagar 8Th Block,560082,088-43229999
